NAICS Code,Industry,Emission Factor (Without Margins)_USD,Emission Factor (Without Margins)_CO2e,Material Type,Weight (kg),Emission Factor per kg (CO2e),Predicted Production Emissions,Logistics Emissions,Total Emissions,Transport Mode
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,3,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,5,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,7,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,8,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,2,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,6,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,air
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,9,10.0,10.0,0.0838563504755357,10.083856350475536,land
511210,Software Publishers,3.02e-09,0.036,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,air
511210,Software Publishers,3.02e-09,0.036,Electronics,10,10.0,10.0,0.0838563504755357,10.083856350475536,land
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,4,10.0,10.0,0.0838563504755357,10.083856350475536,water
511210,Software Publishers,3.02e-09,0.036,Electronics,1,10.0,10.0,0.0838563504755357,10.083856350475536,air
111110,Soybean Farming,5.13e-09,0.488,Food,2,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,1,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,2,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,1,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,6,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,2,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,9,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,5,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,8,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,9,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,3,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,10,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,10,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,8,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,8,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,7,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,2,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,2,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,7,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,6,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,7,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,7,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,8,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,1,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,2,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,1,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,7,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,6,1.5,1.5,0.0838563504755357,1.5838563504755356,air
111110,Soybean Farming,5.13e-09,0.488,Food,2,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,4,1.5,1.5,0.0838563504755357,1.5838563504755356,water
111110,Soybean Farming,5.13e-09,0.488,Food,9,1.5,1.5,0.0838563504755357,1.5838563504755356,land
111110,Soybean Farming,5.13e-09,0.488,Food,8,1.5,1.5,0.0838563504755357,1.5838563504755356,air
